1,Bitcoin,BTC,19494637,6411346818.062036,518495944465.87744,1.24
1027,Ethereum,ETH,120228044.0903488,1978884253.7407956,191730269942.95895,1.03
1839,BNB,BNB,153847390.4246111,207180150.4436836,32431000805.13774,0.64
52,XRP,XRP,53245240268,368404798.1111102,27187265286.69879,1.36
3408,USD Coin,USDC,25775478870.68841,1440776080.7399874,25777642954.41592,5.59
74,Dogecoin,DOGE,141138056383.7052,107395572.66505273,8689392626.397259,1.24
2010,Cardano,ADA,35118373011.013,65747761.9546397,8634302871.75288,0.76
5426,Solana,SOL,412748101.6946099,96959196.06577374,8086045006.442439,1.20
11419,Toncoin,TON,3431892087.62,22508355.61674257,7663619615.860594,0.29
1958,TRON,TRX,89128059217.17645,109681838.72590373,7503828121.414225,1.46
6636,Polkadot,DOT,1238561585.6377902,59412169.91005779,5019136792.971099,1.18
3890,Polygon,MATIC,9319469069.28493,131313021.75578769,4867675450.746217,2.70
2,Litecoin,LTC,73688657.97743528,194715374.42210257,4769452351.095067,4.08
1831,Bitcoin Cash,BCH,19513125,90893992.63241625,4072509503.2178345,2.23
1975,Chainlink,LINK,556849970.4527867,234728061.75365868,3960136210.566177,5.93
5805,Avalanche,AVAX,354055319.09185565,79048040.79929,3190208248.1557817,2.48
512,Stellar,XLM,27702609377.606285,31648159.9143556,3144608815.590165,1.01
328,Monero,XMR,18335952.77086832,32788441.19425421,2623840732.1925354,1.25
3794,Cosmos,ATOM,366066630,31174277.24715075,2585153337.257019,1.21
7083,Uniswap,UNI,577501031,36043652.97404563,2471973180.7271576,1.46
1321,Ethereum Classic,ETC,143165375.39328372,54114485.03661549,2184152454.697243,2.48
4642,Hedera,HBAR,33358054753.77704,18836645.13323366,1684357251.2606976,1.12
2280,Filecoin,FIL,450720876,53636102.32663814,1466277458.5165622,3.66
8000,Lido DAO,LDO,889850712.7305145,19440166.58829419,1317064507.5966463,1.48
8916,Internet Computer,ICP,445202123.3314483,8223636.61899881,1314620600.8922555,0.63
3635,Cronos,CRO,25263013692,12488302.47372217,1285385728.213585,0.97
1518,Maker,MKR,977631.03695089,39801617.58785927,1255235974.4392982,3.17
21794,Aptos,APT,236718721.56156865,164814206.6371084,1238311917.9295337,13.31
3077,VeChain,VET,72714516834,19244133.42176174,1229112748.2776432,1.57
3155,Quant,QNT,12072738,7518735.42842445,1089326490.0094826,0.69
11841,Arbitrum,ARB,1275000000,59236953.84734134,1053231790.8441736,5.62
6535,NEAR Protocol,NEAR,941671517,23591299.37386199,1049062695.3015344,2.25
11840,Optimism,OP,798517235,36207700.33528452,1032595806.8227636,3.51
7278,Aave,AAVE,14547026.6603429,45695873.30725121,913133197.9162183,5.00
6719,The Graph,GRT,9228636133.863283,13898319.71304006,808545633.2413892,1.72
4030,Algorand,ALGO,7829650735.533846,13823830.49234541,797417161.0421939,1.73
10603,Immutable,IMX,1169899199.0700243,31585239.11333067,690175900.4754266,4.58
4847,Stacks,STX,1407453943.754297,8251830.57874199,670101175.5667576,1.23
6783,Axie Infinity,AXS,141310642.9338294,56490833.81150844,653089320.7180701,8.65
6892,MultiversX,EGLD,25996425,7936672.51976122,651227024.1881179,1.22
1765,EOS,EOS,1103554150.9766,47704461.98179235,642930097.0996858,7.42
2011,Tezos,XTZ,953657461.076088,9145074.52725356,633657671.7847342,1.44
2416,Theta Network,THETA,1000000000,22536115.20196046,632342345.5454737,3.56
6210,The Sandbox,SAND,2064931926.2233226,30994044.46783011,629580986.8609931,4.92
3602,Bitcoin SV,BSV,19266076.64423905,16301566.54272365,603159805.701877,2.70
7226,Injective,INJ,83755555.66,15133383.81856489,587356366.1432472,2.58
5690,Render,RNDR,371908453.10879594,12634542.10262457,578012477.6490358,2.19
4157,THORChain,RUNE,336025360,30723050.83355239,565706551.4878685,5.43
1966,Decentraland,MANA,1893095370.6427295,30545206.52012052,564486551.9964032,5.41
2586,Synthetix,SNX,270360016.45874757,46283815.1456385,534531374.1554886,8.66
3513,Fantom,FTM,2803634835.5265927,16497691.64621856,529223834.0873261,3.12
1376,Neo,NEO,70538831,17008536.05295765,520902869.3054728,3.27
4846,Kava,KAVA,790345653,8431280.64362716,495717698.9912279,1.70
4705,PAX Gold,PAXG,247918.44,2414019.28431787,474370638.1295684,0.51
4558,Flow,FLOW,1036200000,17032149.06184351,465284797.0788204,3.66
6538,Curve DAO Token,CRV,878654814,52877359.71361101,446280898.30309266,11.85
4066,Chiliz,CHZ,7466079838.822483,16152788.02346215,433071003.893281,3.73
1437,Zcash,ZEC,16328268.75,30802637.01303633,432731463.92288536,7.12
2943,Rocket Pool,RPL,19694369.84690771,7978577.05852402,421983132.2670201,1.89
18876,ApeCoin,APE,368593750,25841540.75762739,412821607.0701427,6.26
7334,Conflux,CFX,3265151050.6630516,9169349.98311168,408809765.6425016,2.24
6953,Frax Share,FXS,74092840.44163637,8050198.43546278,401124513.4639444,2.01
8646,Mina,MINA,973196981.8400393,2896515.98816717,373365789.70494044,0.78
4256,Klaytn,KLAY,3184055368.0609,5873184.357429,360416506.36883664,1.63
20947,Sui,SUI,791777575.076923,67990490.17247064,360405286.3007436,18.87
11156,dYdX,DYDX,183765523,16746812.77641351,349481812.70404345,4.79
7080,Gala,GALA,24359764428.909966,24619043.20802131,326879310.56051666,7.53
5964,Trust Wallet Token,TWT,416649900,3836291.15110016,323461693.1371398,1.19
5692,Compound,COMP,7829050.86557671,21746713.76785704,313330561.57873654,6.94
11857,GMX,GMX,9032101.18788767,4611307.93590168,307921792.7043628,1.50
